lat,lon,name
"-22,844113","-43,234392",Barraquinha do Bandejao Central
"-22,858357","-43,231035",Asa Brownies
"-22,8444793886846","-43,2341318201154",Restaurante Universitário Central
"-22,842685","-43,23444",Matte Mania
"-22,8576408","-43,2333523",Cantina da Inês 
"-22,8575605","-43,2329004",MC Cópias 
"-22,8585568","-43,2323029",Amarelinho
"-22,862481","-43,223387",Pipoquitas Pipocando
"-22,86239","-43,22322",Banca da Reitoria
"-22,860848","-43,226816",O Gosto Vegano
